LC_AmbErr	$91.7$	$97.0$	$15.7$
baseline_chaosnli_prob	$85.9$	$96.0$	$15.6$
dm_mean	$76.5\pm0.5$	$82.3\pm2.9$	$13.4\pm0.5$
dm_std	$74.6\pm0.9$	$77.3\pm2.1$	$12.6\pm0.3$
gpt-3.5-turbo	$77.4$	$89.0$	$14.4$
gpt-4-1106-preview	$80.4$	$94.0$	$15.3$
metadata_archaeology_knn	$72.7\pm1.5$	$72.3\pm2.1$	$11.7\pm0.3$
metadata_archaeology_lr	$72.0\pm0.5$	$70.0\pm3.0$	$11.4\pm0.5$
peer_Heruistic_ratio_per_exp	$91.3$	$100.0$	$16.3$
peer_heuristic_ratio_all_exp	$91.3$	$100.0$	$16.3$
peer_heuristic_sum_all_exp	$94.7$	$98.0$	$15.9$
peer_heuristic_sum_per_exp	$91.5$	$100.0$	$16.3$
random	$70.2$	$70.2$	$11.4$
