LC_AmbErr	$66.4$	$59.0$	$11.6$
baseline_chaosnli_prob	$66.3$	$71.0$	$14.0$
dm_mean	$61.1\pm0.5$	$67.7\pm2.5$	$13.3\pm0.5$
dm_std	$57.7\pm0.7$	$58.0\pm4.0$	$11.4\pm0.8$
gpt-3.5-turbo	$64.0$	$72.0$	$14.2$
gpt-4-1106-preview	$60.7$	$60.0$	$11.8$
metadata_archaeology_knn	$58.3\pm1.6$	$56.0\pm7.0$	$11.0\pm1.4$
metadata_archaeology_lr	$57.1\pm1.2$	$53.3\pm3.5$	$10.5\pm0.7$
peer_Heruistic_ratio_per_exp	$64.7$	$63.0$	$12.4$
peer_heuristic_ratio_all_exp	$64.6$	$63.0$	$12.4$
peer_heuristic_sum_all_exp	$66.2$	$62.0$	$12.2$
peer_heuristic_sum_per_exp	$64.7$	$63.0$	$12.4$
random	$57.7$	$57.7$	$11.4$
